C0 (10266 genes)	C1 (10322 genes)
TRINITY_DN103845_c0_g1	TRINITY_DN104458_c0_g1
TRINITY_DN103848_c0_g1	TRINITY_DN104463_c0_g1
TRINITY_DN103851_c0_g1	TRINITY_DN104465_c0_g1
TRINITY_DN103856_c0_g1	TRINITY_DN104476_c0_g1
TRINITY_DN10385_c1_g1	TRINITY_DN104491_c0_g1
TRINITY_DN103869_c0_g1	TRINITY_DN104495_c0_g1
TRINITY_DN103882_c0_g1	TRINITY_DN104499_c0_g1
TRINITY_DN103884_c0_g1	TRINITY_DN104516_c0_g1
TRINITY_DN103887_c0_g1	TRINITY_DN104539_c0_g1
TRINITY_DN103893_c0_g1	TRINITY_DN104572_c0_g1
TRINITY_DN1038_c1_g1	TRINITY_DN104580_c0_g1
TRINITY_DN103911_c0_g1	TRINITY_DN104599_c0_g1
TRINITY_DN103921_c0_g1	TRINITY_DN104627_c0_g1
TRINITY_DN103927_c0_g1	TRINITY_DN104653_c0_g1
TRINITY_DN103929_c0_g1	TRINITY_DN104682_c0_g1
TRINITY_DN103932_c0_g1	TRINITY_DN104684_c0_g1
TRINITY_DN103937_c0_g1	TRINITY_DN104687_c0_g1
TRINITY_DN103938_c0_g1	TRINITY_DN104691_c0_g1
TRINITY_DN103947_c0_g1	TRINITY_DN104706_c0_g1
TRINITY_DN103952_c0_g1	TRINITY_DN104716_c0_g1
TRINITY_DN103962_c0_g1	TRINITY_DN104723_c0_g1
TRINITY_DN103977_c0_g1	TRINITY_DN104724_c0_g1
TRINITY_DN103979_c0_g1	TRINITY_DN104725_c0_g1
TRINITY_DN103986_c0_g1	TRINITY_DN104726_c0_g1
TRINITY_DN103988_c0_g1	TRINITY_DN104737_c0_g1
TRINITY_DN104001_c0_g1	TRINITY_DN104741_c0_g1
TRINITY_DN104018_c0_g1	TRINITY_DN104742_c0_g1
TRINITY_DN104029_c0_g1	TRINITY_DN104745_c0_g1
TRINITY_DN104034_c0_g1	TRINITY_DN104749_c0_g1
TRINITY_DN104042_c0_g1	TRINITY_DN104751_c0_g1
TRINITY_DN104053_c0_g1	TRINITY_DN104752_c0_g1
TRINITY_DN104057_c0_g1	TRINITY_DN104753_c0_g1
TRINITY_DN104058_c0_g1	TRINITY_DN104758_c0_g1
TRINITY_DN104063_c0_g1	TRINITY_DN104770_c0_g1
TRINITY_DN104123_c0_g1	TRINITY_DN104775_c0_g1
TRINITY_DN104147_c0_g1	TRINITY_DN104796_c0_g1
TRINITY_DN104153_c0_g1	TRINITY_DN104825_c0_g1
TRINITY_DN104184_c0_g1	TRINITY_DN104826_c0_g1
TRINITY_DN104211_c0_g1	TRINITY_DN104843_c0_g1
TRINITY_DN104242_c0_g1	TRINITY_DN104866_c0_g1
TRINITY_DN104245_c0_g1	TRINITY_DN104870_c0_g1
TRINITY_DN104281_c0_g1	TRINITY_DN104877_c0_g1
TRINITY_DN104298_c0_g1	TRINITY_DN104887_c0_g1
TRINITY_DN104343_c0_g1	TRINITY_DN104888_c0_g1
TRINITY_DN104377_c0_g1	TRINITY_DN104902_c0_g1
TRINITY_DN104404_c0_g1	TRINITY_DN104908_c0_g1
TRINITY_DN104409_c0_g1	TRINITY_DN104909_c0_g1
TRINITY_DN104420_c0_g1	TRINITY_DN104912_c0_g1
TRINITY_DN104422_c0_g1	TRINITY_DN104918_c0_g1
TRINITY_DN104427_c0_g1	TRINITY_DN104922_c0_g1
TRINITY_DN104431_c0_g1	TRINITY_DN104925_c0_g1
TRINITY_DN104454_c0_g1	TRINITY_DN104930_c0_g1
TRINITY_DN104462_c0_g1	TRINITY_DN104934_c0_g1
TRINITY_DN104467_c0_g1	TRINITY_DN104939_c0_g1
TRINITY_DN104472_c0_g1	TRINITY_DN104955_c0_g1
TRINITY_DN104474_c0_g1	TRINITY_DN104970_c0_g1
TRINITY_DN104477_c0_g1	TRINITY_DN104987_c0_g1
TRINITY_DN104484_c0_g1	TRINITY_DN10498_c0_g2
TRINITY_DN104487_c0_g1	TRINITY_DN104993_c0_g1
TRINITY_DN104488_c0_g1	TRINITY_DN105006_c0_g1
TRINITY_DN104493_c0_g1	TRINITY_DN105007_c0_g1
TRINITY_DN104504_c0_g1	TRINITY_DN105013_c0_g1
TRINITY_DN104513_c0_g1	TRINITY_DN105022_c0_g1
TRINITY_DN104519_c0_g1	TRINITY_DN105024_c0_g1
TRINITY_DN104529_c0_g1	TRINITY_DN105028_c0_g1
TRINITY_DN104532_c0_g1	TRINITY_DN105039_c0_g1
TRINITY_DN104542_c0_g1	TRINITY_DN105040_c0_g1
TRINITY_DN104564_c0_g1	TRINITY_DN105059_c0_g1
TRINITY_DN104579_c0_g1	TRINITY_DN105071_c0_g1
TRINITY_DN104594_c1_g1	TRINITY_DN105075_c0_g1
TRINITY_DN104598_c0_g1	TRINITY_DN105080_c0_g1
TRINITY_DN104608_c0_g1	TRINITY_DN105088_c0_g1
TRINITY_DN104611_c0_g1	TRINITY_DN105093_c0_g1
TRINITY_DN104614_c0_g1	TRINITY_DN105109_c0_g1
TRINITY_DN104641_c0_g1	TRINITY_DN105121_c0_g1
TRINITY_DN104642_c0_g1	TRINITY_DN105150_c0_g1
TRINITY_DN104649_c0_g1	TRINITY_DN105152_c0_g1
TRINITY_DN104657_c0_g1	TRINITY_DN105157_c0_g1
TRINITY_DN104665_c0_g1	TRINITY_DN105161_c0_g1
TRINITY_DN104670_c0_g1	TRINITY_DN105164_c0_g1
TRINITY_DN104688_c0_g1	TRINITY_DN105166_c0_g1
TRINITY_DN104699_c0_g1	TRINITY_DN105172_c0_g1
TRINITY_DN104708_c0_g1	TRINITY_DN105182_c0_g1
TRINITY_DN104711_c0_g1	TRINITY_DN105200_c0_g1
TRINITY_DN104713_c0_g1	TRINITY_DN105207_c0_g1
TRINITY_DN104728_c0_g1	TRINITY_DN105221_c0_g1
TRINITY_DN104738_c0_g1	TRINITY_DN105238_c0_g1
TRINITY_DN104774_c0_g1	TRINITY_DN105247_c0_g1
TRINITY_DN104780_c0_g1	TRINITY_DN105251_c0_g1
TRINITY_DN104786_c0_g1	TRINITY_DN105256_c0_g1
TRINITY_DN104788_c0_g1	TRINITY_DN105262_c0_g1
TRINITY_DN104789_c0_g1	TRINITY_DN105277_c0_g1
TRINITY_DN104804_c0_g1	TRINITY_DN105351_c0_g1
TRINITY_DN104808_c0_g1	TRINITY_DN105391_c0_g1
TRINITY_DN104810_c0_g1	TRINITY_DN105428_c0_g1
TRINITY_DN104817_c0_g1	TRINITY_DN105446_c0_g1
TRINITY_DN104850_c0_g1	TRINITY_DN105469_c0_g1
TRINITY_DN104861_c0_g1	TRINITY_DN105475_c0_g1
TRINITY_DN104864_c0_g1	TRINITY_DN105481_c0_g1
TRINITY_DN104865_c0_g1	TRINITY_DN105549_c0_g1
TRINITY_DN104941_c0_g1	TRINITY_DN105634_c0_g1
TRINITY_DN104968_c0_g1	TRINITY_DN105688_c0_g1
TRINITY_DN104984_c0_g1	TRINITY_DN105705_c0_g1
TRINITY_DN104989_c0_g1	TRINITY_DN105873_c0_g1
TRINITY_DN104991_c0_g1	TRINITY_DN105965_c0_g1
TRINITY_DN104994_c0_g1	TRINITY_DN106000_c0_g1
TRINITY_DN104999_c0_g1	TRINITY_DN10612_c0_g1
TRINITY_DN105003_c0_g1	TRINITY_DN106262_c0_g1
TRINITY_DN105018_c0_g1	TRINITY_DN106428_c0_g1
TRINITY_DN105020_c0_g1	TRINITY_DN106465_c0_g1
TRINITY_DN105030_c0_g1	TRINITY_DN106474_c0_g1
TRINITY_DN105047_c0_g1	TRINITY_DN106484_c0_g1
TRINITY_DN105053_c0_g1	TRINITY_DN106496_c0_g1
TRINITY_DN105055_c0_g1	TRINITY_DN106501_c0_g1
TRINITY_DN105056_c0_g1	TRINITY_DN106514_c0_g1
TRINITY_DN105067_c0_g1	TRINITY_DN106533_c0_g1
TRINITY_DN105068_c0_g1	TRINITY_DN106562_c0_g1
TRINITY_DN105074_c0_g1	TRINITY_DN106580_c0_g1
TRINITY_DN105081_c0_g1	TRINITY_DN106624_c0_g1
TRINITY_DN105089_c0_g1	TRINITY_DN106626_c0_g1
TRINITY_DN105098_c0_g1	TRINITY_DN106686_c0_g1
TRINITY_DN10509_c1_g1	TRINITY_DN106706_c0_g1
TRINITY_DN105106_c0_g1	TRINITY_DN106735_c0_g1
TRINITY_DN105119_c0_g1	TRINITY_DN106770_c0_g1
TRINITY_DN105135_c0_g1	TRINITY_DN106773_c0_g1
TRINITY_DN105137_c0_g1	TRINITY_DN106787_c0_g1
TRINITY_DN105141_c0_g1	TRINITY_DN10678_c0_g2
TRINITY_DN105145_c0_g1	TRINITY_DN106793_c0_g1
TRINITY_DN105173_c0_g1	TRINITY_DN106837_c0_g1
TRINITY_DN105190_c0_g1	TRINITY_DN106850_c0_g1
TRINITY_DN105194_c0_g1	TRINITY_DN106906_c0_g1
TRINITY_DN105197_c0_g1	TRINITY_DN106907_c0_g1
TRINITY_DN105226_c0_g1	TRINITY_DN106915_c0_g1
TRINITY_DN105232_c0_g1	TRINITY_DN106918_c0_g1
TRINITY_DN105249_c0_g1	TRINITY_DN106942_c0_g1
TRINITY_DN105250_c0_g1	TRINITY_DN106946_c0_g1
TRINITY_DN105252_c0_g1	TRINITY_DN106956_c0_g1
TRINITY_DN105273_c0_g1	TRINITY_DN106976_c0_g1
