C0 (10266 genes)	C1 (10322 genes)
TRINITY_DN164396_c0_g1	TRINITY_DN16314_c1_g4
TRINITY_DN164419_c0_g1	TRINITY_DN163173_c0_g1
TRINITY_DN16442_c0_g2	TRINITY_DN163181_c0_g1
TRINITY_DN164434_c0_g1	TRINITY_DN163183_c1_g1
TRINITY_DN164436_c0_g1	TRINITY_DN163224_c0_g1
TRINITY_DN164446_c0_g1	TRINITY_DN163230_c0_g1
TRINITY_DN164459_c0_g1	TRINITY_DN163234_c0_g1
TRINITY_DN164469_c0_g1	TRINITY_DN163242_c0_g1
TRINITY_DN164476_c0_g1	TRINITY_DN16324_c0_g1
TRINITY_DN164486_c0_g1	TRINITY_DN163255_c0_g1
TRINITY_DN164487_c0_g1	TRINITY_DN163257_c0_g1
TRINITY_DN164490_c0_g1	TRINITY_DN163269_c0_g1
TRINITY_DN164491_c0_g1	TRINITY_DN163274_c0_g1
TRINITY_DN164492_c0_g1	TRINITY_DN163277_c0_g1
TRINITY_DN164511_c0_g1	TRINITY_DN163283_c0_g1
TRINITY_DN164514_c0_g1	TRINITY_DN163298_c0_g1
TRINITY_DN164517_c0_g1	TRINITY_DN163302_c0_g1
TRINITY_DN164520_c0_g1	TRINITY_DN163317_c0_g1
TRINITY_DN164523_c0_g1	TRINITY_DN163320_c0_g1
TRINITY_DN164535_c0_g1	TRINITY_DN163338_c0_g1
TRINITY_DN164537_c0_g1	TRINITY_DN163343_c0_g1
TRINITY_DN164544_c0_g1	TRINITY_DN163367_c0_g1
TRINITY_DN16455_c0_g1	TRINITY_DN163386_c0_g1
TRINITY_DN164564_c0_g1	TRINITY_DN163407_c0_g1
TRINITY_DN164567_c0_g1	TRINITY_DN163440_c0_g1
TRINITY_DN164569_c0_g1	TRINITY_DN163441_c0_g1
TRINITY_DN164581_c0_g1	TRINITY_DN163444_c0_g1
TRINITY_DN164588_c0_g1	TRINITY_DN163447_c0_g1
TRINITY_DN164590_c0_g1	TRINITY_DN163448_c0_g1
TRINITY_DN164600_c0_g1	TRINITY_DN163456_c0_g1
TRINITY_DN164616_c0_g1	TRINITY_DN163457_c0_g1
TRINITY_DN164619_c0_g1	TRINITY_DN163461_c0_g1
TRINITY_DN164632_c0_g1	TRINITY_DN163464_c0_g1
TRINITY_DN164648_c0_g1	TRINITY_DN163495_c0_g1
TRINITY_DN164649_c0_g1	TRINITY_DN163497_c0_g1
TRINITY_DN16464_c3_g1	TRINITY_DN163512_c0_g1
TRINITY_DN164654_c0_g1	TRINITY_DN163520_c0_g1
TRINITY_DN164663_c0_g1	TRINITY_DN163521_c0_g1
TRINITY_DN164667_c0_g1	TRINITY_DN163525_c0_g1
TRINITY_DN164672_c0_g1	TRINITY_DN163550_c0_g1
TRINITY_DN164674_c0_g1	TRINITY_DN163553_c0_g1
TRINITY_DN164682_c0_g1	TRINITY_DN163557_c0_g1
TRINITY_DN16468_c0_g3	TRINITY_DN163564_c0_g1
TRINITY_DN164696_c0_g1	TRINITY_DN163575_c0_g1
TRINITY_DN164708_c0_g1	TRINITY_DN163578_c0_g1
TRINITY_DN164717_c0_g1	TRINITY_DN163582_c0_g1
TRINITY_DN164732_c0_g1	TRINITY_DN163589_c0_g1
TRINITY_DN164733_c0_g1	TRINITY_DN163593_c0_g1
TRINITY_DN164739_c0_g1	TRINITY_DN163634_c0_g1
TRINITY_DN164747_c0_g1	TRINITY_DN163635_c0_g1
TRINITY_DN164766_c0_g1	TRINITY_DN163645_c0_g1
TRINITY_DN164779_c0_g1	TRINITY_DN163662_c0_g1
TRINITY_DN164796_c0_g1	TRINITY_DN163669_c0_g1
TRINITY_DN164803_c0_g1	TRINITY_DN163671_c0_g1
TRINITY_DN164813_c0_g1	TRINITY_DN163698_c0_g1
TRINITY_DN164817_c0_g1	TRINITY_DN163703_c0_g1
TRINITY_DN164822_c0_g1	TRINITY_DN163717_c0_g1
TRINITY_DN164831_c0_g1	TRINITY_DN163723_c0_g1
TRINITY_DN164844_c0_g1	TRINITY_DN163724_c0_g1
TRINITY_DN164845_c0_g1	TRINITY_DN163726_c0_g1
TRINITY_DN164858_c0_g1	TRINITY_DN163745_c0_g1
TRINITY_DN164862_c0_g1	TRINITY_DN163751_c0_g1
TRINITY_DN164868_c0_g1	TRINITY_DN163752_c0_g1
TRINITY_DN164873_c0_g1	TRINITY_DN163755_c0_g1
TRINITY_DN164883_c0_g1	TRINITY_DN163773_c0_g1
TRINITY_DN164888_c0_g1	TRINITY_DN163781_c0_g1
TRINITY_DN164890_c0_g1	TRINITY_DN163787_c0_g1
TRINITY_DN164891_c0_g1	TRINITY_DN163802_c0_g1
TRINITY_DN164900_c0_g1	TRINITY_DN163806_c0_g1
TRINITY_DN164909_c0_g1	TRINITY_DN16380_c1_g1
TRINITY_DN164910_c0_g1	TRINITY_DN163816_c0_g1
TRINITY_DN164914_c0_g1	TRINITY_DN163827_c0_g1
TRINITY_DN164922_c0_g1	TRINITY_DN163836_c0_g1
TRINITY_DN164931_c0_g1	TRINITY_DN163839_c0_g1
TRINITY_DN164948_c0_g1	TRINITY_DN163841_c0_g1
TRINITY_DN164956_c0_g1	TRINITY_DN163857_c0_g1
TRINITY_DN164961_c0_g1	TRINITY_DN163873_c0_g1
TRINITY_DN164965_c0_g1	TRINITY_DN163921_c0_g1
TRINITY_DN164969_c0_g1	TRINITY_DN163941_c0_g1
TRINITY_DN16497_c0_g1	TRINITY_DN163962_c0_g1
TRINITY_DN164985_c0_g1	TRINITY_DN163973_c0_g1
TRINITY_DN165007_c0_g1	TRINITY_DN163975_c0_g1
TRINITY_DN165012_c0_g1	TRINITY_DN163988_c0_g1
TRINITY_DN165014_c0_g1	TRINITY_DN163989_c0_g1
TRINITY_DN165021_c0_g1	TRINITY_DN16398_c0_g2
TRINITY_DN165044_c0_g1	TRINITY_DN163991_c0_g1
TRINITY_DN165045_c0_g1	TRINITY_DN163996_c0_g1
TRINITY_DN16504_c0_g2	TRINITY_DN164004_c0_g1
TRINITY_DN165053_c0_g1	TRINITY_DN164008_c0_g1
TRINITY_DN165058_c0_g1	TRINITY_DN164013_c0_g1
TRINITY_DN16505_c1_g1	TRINITY_DN164030_c0_g1
TRINITY_DN165079_c0_g1	TRINITY_DN164048_c0_g1
TRINITY_DN165082_c0_g1	TRINITY_DN164062_c0_g1
TRINITY_DN165132_c0_g1	TRINITY_DN164065_c0_g1
TRINITY_DN165149_c0_g1	TRINITY_DN164071_c0_g1
TRINITY_DN165150_c0_g1	TRINITY_DN164082_c0_g1
TRINITY_DN165154_c0_g1	TRINITY_DN164085_c0_g1
TRINITY_DN165163_c0_g1	TRINITY_DN164108_c0_g1
TRINITY_DN165165_c0_g1	TRINITY_DN164113_c0_g1
TRINITY_DN165174_c0_g1	TRINITY_DN164117_c0_g1
TRINITY_DN165176_c0_g1	TRINITY_DN164127_c0_g1
TRINITY_DN165180_c0_g1	TRINITY_DN164148_c0_g1
TRINITY_DN165182_c0_g1	TRINITY_DN164152_c0_g1
TRINITY_DN165193_c0_g1	TRINITY_DN164155_c0_g1
TRINITY_DN165200_c0_g1	TRINITY_DN164169_c0_g1
TRINITY_DN165216_c0_g1	TRINITY_DN164183_c0_g1
TRINITY_DN16521_c0_g2	TRINITY_DN164184_c0_g1
TRINITY_DN165246_c0_g1	TRINITY_DN164218_c0_g1
TRINITY_DN165260_c0_g1	TRINITY_DN164234_c0_g1
TRINITY_DN165262_c0_g1	TRINITY_DN164235_c0_g1
TRINITY_DN165263_c0_g1	TRINITY_DN164236_c0_g1
TRINITY_DN165266_c0_g1	TRINITY_DN16423_c0_g1
TRINITY_DN165278_c0_g1	TRINITY_DN164272_c0_g1
TRINITY_DN165280_c0_g1	TRINITY_DN164274_c0_g1
TRINITY_DN165297_c0_g1	TRINITY_DN164276_c0_g1
TRINITY_DN165318_c0_g1	TRINITY_DN164278_c0_g1
TRINITY_DN165320_c0_g1	TRINITY_DN164280_c0_g1
TRINITY_DN165339_c0_g1	TRINITY_DN164292_c0_g1
TRINITY_DN165340_c0_g1	TRINITY_DN164296_c0_g1
TRINITY_DN165345_c0_g1	TRINITY_DN164297_c0_g1
TRINITY_DN165358_c0_g1	TRINITY_DN164300_c0_g1
TRINITY_DN165362_c0_g1	TRINITY_DN164309_c0_g1
TRINITY_DN165368_c0_g1	TRINITY_DN164359_c0_g1
TRINITY_DN165377_c0_g1	TRINITY_DN164361_c0_g1
TRINITY_DN165390_c0_g1	TRINITY_DN164364_c0_g1
TRINITY_DN165402_c0_g1	TRINITY_DN164374_c0_g1
TRINITY_DN165420_c0_g1	TRINITY_DN164381_c0_g1
TRINITY_DN165438_c0_g1	TRINITY_DN164401_c0_g1
TRINITY_DN165439_c0_g1	TRINITY_DN164405_c0_g1
TRINITY_DN165467_c0_g1	TRINITY_DN164415_c0_g1
TRINITY_DN165475_c0_g1	TRINITY_DN164425_c0_g1
TRINITY_DN165486_c0_g1	TRINITY_DN164449_c0_g1
TRINITY_DN165501_c0_g1	TRINITY_DN164450_c0_g1
TRINITY_DN165507_c0_g1	TRINITY_DN164455_c0_g1
TRINITY_DN165509_c0_g1	TRINITY_DN164465_c0_g1
TRINITY_DN165513_c0_g1	TRINITY_DN164474_c0_g1
TRINITY_DN165517_c0_g1	TRINITY_DN164475_c0_g1
TRINITY_DN165519_c0_g1	TRINITY_DN164481_c0_g1
TRINITY_DN165523_c0_g1	TRINITY_DN164506_c0_g1
TRINITY_DN165527_c0_g1	TRINITY_DN164534_c0_g1
TRINITY_DN165541_c0_g1	TRINITY_DN164549_c0_g1
TRINITY_DN165544_c0_g1	TRINITY_DN164563_c0_g1
TRINITY_DN165553_c0_g1	TRINITY_DN164566_c0_g1
TRINITY_DN165582_c0_g1	TRINITY_DN164572_c0_g1
TRINITY_DN165583_c0_g1	TRINITY_DN164578_c0_g1
TRINITY_DN165589_c0_g1	TRINITY_DN164586_c0_g1
TRINITY_DN165597_c0_g1	TRINITY_DN164591_c0_g1
TRINITY_DN165598_c0_g1	TRINITY_DN164595_c0_g1
TRINITY_DN165599_c0_g1	TRINITY_DN164604_c0_g1
TRINITY_DN16559_c1_g1	TRINITY_DN164612_c0_g1
TRINITY_DN16559_c1_g7	TRINITY_DN164613_c0_g1
TRINITY_DN1655_c3_g3	TRINITY_DN164635_c0_g1
TRINITY_DN165613_c0_g1	TRINITY_DN164636_c0_g1
TRINITY_DN165621_c0_g1	TRINITY_DN164660_c0_g1
TRINITY_DN165629_c0_g1	TRINITY_DN164673_c0_g1
TRINITY_DN165659_c0_g1	TRINITY_DN164678_c0_g1
TRINITY_DN165661_c0_g1	TRINITY_DN164692_c0_g1
TRINITY_DN165682_c0_g1	TRINITY_DN164694_c0_g1
TRINITY_DN165694_c0_g1	TRINITY_DN16471_c1_g1
TRINITY_DN165697_c0_g1	TRINITY_DN164727_c0_g1
TRINITY_DN16569_c0_g1	TRINITY_DN164738_c0_g1
TRINITY_DN165708_c0_g1	TRINITY_DN164740_c0_g1
TRINITY_DN165713_c0_g1	TRINITY_DN164741_c0_g1
TRINITY_DN165722_c0_g1	TRINITY_DN164750_c0_g1
TRINITY_DN165731_c0_g1	TRINITY_DN164753_c0_g1
TRINITY_DN165738_c0_g1	TRINITY_DN164756_c0_g1
TRINITY_DN165743_c0_g1	TRINITY_DN164759_c0_g1
TRINITY_DN165746_c0_g1	TRINITY_DN164761_c0_g1
TRINITY_DN165764_c0_g1	TRINITY_DN164763_c0_g1
TRINITY_DN165766_c0_g1	TRINITY_DN164767_c0_g1
TRINITY_DN165767_c0_g1	TRINITY_DN164776_c0_g1
TRINITY_DN165772_c0_g1	TRINITY_DN164778_c0_g1
TRINITY_DN165782_c0_g1	TRINITY_DN164783_c0_g1
TRINITY_DN165792_c0_g1	TRINITY_DN164786_c0_g1
TRINITY_DN165795_c0_g1	TRINITY_DN164805_c0_g1
TRINITY_DN165801_c0_g1	TRINITY_DN164807_c0_g1
TRINITY_DN165808_c0_g1	TRINITY_DN164818_c0_g1
TRINITY_DN165812_c0_g1	TRINITY_DN164819_c0_g1
TRINITY_DN16581_c1_g1	TRINITY_DN164837_c0_g1
TRINITY_DN16581_c1_g2	TRINITY_DN164838_c0_g1
TRINITY_DN165842_c0_g1	TRINITY_DN164846_c0_g1
TRINITY_DN165845_c0_g1	TRINITY_DN164856_c0_g1
TRINITY_DN165849_c0_g1	TRINITY_DN164870_c0_g1
TRINITY_DN16584_c1_g1	TRINITY_DN164878_c0_g1
TRINITY_DN165856_c0_g1	TRINITY_DN164887_c0_g1
TRINITY_DN165858_c0_g1	TRINITY_DN164892_c0_g1
TRINITY_DN16585_c0_g2	TRINITY_DN164895_c0_g1
TRINITY_DN165867_c0_g1	TRINITY_DN164912_c0_g1
TRINITY_DN16586_c1_g1	TRINITY_DN164915_c0_g1
TRINITY_DN165871_c0_g1	TRINITY_DN164918_c0_g1
TRINITY_DN165874_c0_g1	TRINITY_DN164919_c0_g1
TRINITY_DN165880_c0_g1	TRINITY_DN164925_c0_g1
TRINITY_DN165890_c0_g1	TRINITY_DN164926_c0_g1
TRINITY_DN16590_c1_g1	TRINITY_DN164928_c0_g1
TRINITY_DN165910_c0_g1	TRINITY_DN164932_c0_g1
TRINITY_DN165917_c0_g1	TRINITY_DN164933_c0_g1
TRINITY_DN165922_c0_g1	TRINITY_DN164950_c0_g1
TRINITY_DN165924_c0_g1	TRINITY_DN164958_c0_g1
TRINITY_DN165929_c0_g1	TRINITY_DN164959_c0_g1
TRINITY_DN165932_c0_g1	TRINITY_DN164974_c0_g1
TRINITY_DN165935_c0_g1	TRINITY_DN164976_c0_g1
TRINITY_DN165937_c0_g1	TRINITY_DN164978_c0_g1
TRINITY_DN165942_c0_g1	TRINITY_DN164992_c0_g1
TRINITY_DN165943_c0_g1	TRINITY_DN164997_c0_g1
TRINITY_DN165954_c0_g1	TRINITY_DN165016_c0_g1
TRINITY_DN165977_c0_g1	TRINITY_DN165024_c0_g1
TRINITY_DN165986_c0_g1	TRINITY_DN165028_c0_g1
TRINITY_DN16598_c0_g1	TRINITY_DN165032_c0_g1
TRINITY_DN166015_c0_g1	TRINITY_DN165035_c0_g1
TRINITY_DN166039_c0_g1	TRINITY_DN165046_c0_g1
TRINITY_DN166044_c0_g1	TRINITY_DN165074_c0_g1
TRINITY_DN166045_c0_g1	TRINITY_DN165087_c0_g1
TRINITY_DN166048_c0_g1	TRINITY_DN165102_c0_g1
TRINITY_DN16604_c1_g2	TRINITY_DN165103_c0_g1
TRINITY_DN16604_c1_g3	TRINITY_DN165111_c0_g1
TRINITY_DN166068_c0_g1	TRINITY_DN165112_c0_g1
TRINITY_DN166075_c0_g1	TRINITY_DN165113_c0_g1
TRINITY_DN166096_c0_g1	TRINITY_DN165119_c0_g1
TRINITY_DN166103_c0_g1	TRINITY_DN165124_c0_g1
TRINITY_DN166107_c0_g1	TRINITY_DN165129_c0_g1
TRINITY_DN166110_c0_g1	TRINITY_DN165131_c0_g1
TRINITY_DN166111_c0_g1	TRINITY_DN165151_c0_g1
TRINITY_DN166115_c0_g1	TRINITY_DN165166_c0_g1
TRINITY_DN166121_c0_g1	TRINITY_DN165173_c0_g1
TRINITY_DN166122_c0_g1	TRINITY_DN165187_c0_g1
TRINITY_DN166125_c0_g1	TRINITY_DN165188_c0_g1
TRINITY_DN166149_c0_g1	TRINITY_DN165195_c0_g1
TRINITY_DN166158_c0_g1	TRINITY_DN165204_c0_g1
TRINITY_DN166163_c0_g1	TRINITY_DN165209_c0_g1
TRINITY_DN166172_c0_g1	TRINITY_DN165210_c0_g1
TRINITY_DN166179_c0_g1	TRINITY_DN165239_c0_g1
TRINITY_DN166180_c0_g1	TRINITY_DN16523_c1_g1
TRINITY_DN166193_c0_g1	TRINITY_DN165244_c0_g1
TRINITY_DN166205_c0_g1	TRINITY_DN165254_c0_g1
TRINITY_DN166215_c0_g1	TRINITY_DN165279_c0_g1
TRINITY_DN166227_c0_g1	TRINITY_DN165287_c0_g1
TRINITY_DN166230_c0_g1	TRINITY_DN165288_c0_g1
TRINITY_DN166232_c0_g1	TRINITY_DN165293_c0_g1
TRINITY_DN166233_c0_g1	TRINITY_DN165321_c0_g1
TRINITY_DN166258_c0_g1	TRINITY_DN165332_c0_g1
TRINITY_DN166265_c0_g1	TRINITY_DN165346_c0_g1
TRINITY_DN166266_c0_g1	TRINITY_DN165366_c0_g1
TRINITY_DN166269_c0_g1	TRINITY_DN165372_c0_g1
TRINITY_DN166283_c0_g1	TRINITY_DN165392_c0_g1
TRINITY_DN166284_c0_g1	TRINITY_DN165437_c0_g1
TRINITY_DN166292_c0_g1	TRINITY_DN165449_c0_g1
TRINITY_DN166296_c0_g1	TRINITY_DN165457_c0_g1
TRINITY_DN166303_c0_g1	TRINITY_DN165459_c0_g1
TRINITY_DN166306_c0_g1	TRINITY_DN165474_c0_g1
TRINITY_DN166314_c0_g1	TRINITY_DN165497_c0_g1
TRINITY_DN166337_c0_g1	TRINITY_DN1654_c2_g1
TRINITY_DN166345_c0_g1	TRINITY_DN165503_c0_g1
TRINITY_DN166349_c0_g1	TRINITY_DN165520_c0_g1
TRINITY_DN166351_c0_g1	TRINITY_DN165533_c0_g1
TRINITY_DN166355_c0_g1	TRINITY_DN165534_c0_g1
TRINITY_DN166359_c0_g1	TRINITY_DN165540_c0_g1
TRINITY_DN166360_c0_g1	TRINITY_DN165557_c0_g1
TRINITY_DN166367_c0_g1	TRINITY_DN165571_c0_g1
TRINITY_DN166375_c0_g1	TRINITY_DN165588_c0_g1
TRINITY_DN166378_c0_g1	TRINITY_DN165591_c0_g1
TRINITY_DN166383_c0_g1	TRINITY_DN165604_c0_g1
TRINITY_DN166402_c0_g1	TRINITY_DN165605_c0_g1
TRINITY_DN166409_c0_g1	TRINITY_DN165625_c0_g1
TRINITY_DN166415_c0_g1	TRINITY_DN165631_c0_g1
TRINITY_DN166421_c0_g1	TRINITY_DN165636_c0_g1
TRINITY_DN166426_c0_g1	TRINITY_DN165639_c0_g1
TRINITY_DN166440_c0_g1	TRINITY_DN165644_c0_g1
TRINITY_DN166449_c0_g1	TRINITY_DN165647_c0_g1
TRINITY_DN166455_c0_g1	TRINITY_DN165665_c0_g1
TRINITY_DN166460_c0_g1	TRINITY_DN165666_c0_g1
TRINITY_DN166462_c0_g1	TRINITY_DN165669_c0_g1
TRINITY_DN166465_c0_g1	TRINITY_DN165687_c0_g1
TRINITY_DN166471_c0_g1	TRINITY_DN165699_c0_g1
TRINITY_DN166476_c0_g1	TRINITY_DN165702_c0_g1
TRINITY_DN166481_c0_g1	TRINITY_DN16570_c0_g2
TRINITY_DN166487_c0_g1	TRINITY_DN165714_c0_g1
TRINITY_DN166488_c0_g1	TRINITY_DN165719_c0_g1
TRINITY_DN166498_c0_g1	TRINITY_DN165727_c0_g1
TRINITY_DN166499_c0_g1	TRINITY_DN165728_c0_g1
TRINITY_DN166502_c0_g1	TRINITY_DN165729_c0_g1
TRINITY_DN166503_c0_g1	TRINITY_DN165730_c0_g1
TRINITY_DN166510_c0_g1	TRINITY_DN165740_c0_g1
TRINITY_DN166511_c0_g1	TRINITY_DN165750_c0_g1
TRINITY_DN166515_c0_g1	TRINITY_DN165754_c0_g1
TRINITY_DN166544_c0_g1	TRINITY_DN165771_c0_g1
TRINITY_DN166546_c0_g1	TRINITY_DN165774_c0_g1
TRINITY_DN166547_c0_g1	TRINITY_DN165780_c0_g1
TRINITY_DN166554_c0_g1	TRINITY_DN165781_c0_g1
TRINITY_DN166555_c0_g1	TRINITY_DN165783_c0_g1
TRINITY_DN166557_c0_g1	TRINITY_DN165790_c0_g1
TRINITY_DN166560_c0_g1	TRINITY_DN165804_c0_g1
TRINITY_DN16656_c0_g4	TRINITY_DN165809_c0_g1
TRINITY_DN166570_c0_g1	TRINITY_DN165822_c0_g1
TRINITY_DN166576_c0_g1	TRINITY_DN165829_c0_g1
TRINITY_DN166581_c0_g1	TRINITY_DN165837_c0_g1
TRINITY_DN166582_c0_g1	TRINITY_DN165863_c0_g1
TRINITY_DN166595_c0_g1	TRINITY_DN165889_c0_g1
TRINITY_DN1665_c1_g1	TRINITY_DN165893_c0_g1
TRINITY_DN166607_c0_g1	TRINITY_DN165895_c0_g1
TRINITY_DN166612_c0_g1	TRINITY_DN165905_c0_g1
TRINITY_DN166638_c0_g1	TRINITY_DN16590_c0_g1
TRINITY_DN16663_c0_g1	TRINITY_DN165944_c0_g1
TRINITY_DN16663_c1_g2	TRINITY_DN165957_c0_g1
TRINITY_DN166640_c0_g1	TRINITY_DN165990_c0_g1
TRINITY_DN166656_c0_g1	TRINITY_DN165999_c0_g1
TRINITY_DN166665_c0_g1	TRINITY_DN166007_c0_g1
TRINITY_DN166670_c0_g1	TRINITY_DN166022_c0_g1
TRINITY_DN166673_c0_g1	TRINITY_DN166031_c0_g1
TRINITY_DN166677_c0_g1	TRINITY_DN166033_c0_g1
TRINITY_DN166678_c0_g1	TRINITY_DN16603_c2_g1
TRINITY_DN166683_c0_g1	TRINITY_DN166051_c0_g1
TRINITY_DN166690_c0_g1	TRINITY_DN166069_c0_g1
TRINITY_DN166694_c0_g1	TRINITY_DN166072_c0_g1
TRINITY_DN166696_c0_g1	TRINITY_DN166099_c0_g1
TRINITY_DN166710_c0_g1	TRINITY_DN166133_c0_g1
TRINITY_DN166726_c0_g1	TRINITY_DN166134_c0_g1
TRINITY_DN166727_c0_g1	TRINITY_DN166144_c0_g1
TRINITY_DN166736_c0_g1	TRINITY_DN166146_c0_g1
TRINITY_DN166744_c0_g1	TRINITY_DN166188_c0_g1
TRINITY_DN166750_c0_g1	TRINITY_DN166191_c0_g1
TRINITY_DN166755_c0_g1	TRINITY_DN166204_c0_g1
TRINITY_DN166781_c0_g1	TRINITY_DN166217_c0_g1
TRINITY_DN166789_c0_g1	TRINITY_DN166240_c0_g1
TRINITY_DN166793_c0_g1	TRINITY_DN166242_c0_g1
TRINITY_DN166800_c0_g1	TRINITY_DN166248_c0_g1
TRINITY_DN166801_c0_g1	TRINITY_DN166251_c0_g1
TRINITY_DN166818_c0_g1	TRINITY_DN166275_c0_g1
TRINITY_DN16681_c0_g2	TRINITY_DN166300_c0_g1
TRINITY_DN166829_c0_g1	TRINITY_DN166343_c0_g1
TRINITY_DN166837_c0_g1	TRINITY_DN166372_c0_g1
TRINITY_DN166839_c0_g1	TRINITY_DN166389_c0_g1
TRINITY_DN166888_c0_g1	TRINITY_DN166392_c0_g1
TRINITY_DN166891_c0_g1	TRINITY_DN166400_c0_g1
TRINITY_DN166892_c0_g1	TRINITY_DN166406_c0_g1
TRINITY_DN166895_c0_g1	TRINITY_DN166416_c0_g1
TRINITY_DN166897_c0_g1	TRINITY_DN166428_c0_g1
TRINITY_DN166904_c0_g1	TRINITY_DN166438_c0_g1
TRINITY_DN166925_c0_g1	TRINITY_DN166484_c0_g1
TRINITY_DN166937_c0_g1	TRINITY_DN166494_c0_g1
TRINITY_DN16693_c0_g1	TRINITY_DN166496_c0_g1
TRINITY_DN166940_c0_g1	TRINITY_DN166504_c0_g1
TRINITY_DN166953_c0_g1	TRINITY_DN166508_c0_g1
TRINITY_DN166960_c0_g1	TRINITY_DN166523_c0_g1
TRINITY_DN166971_c0_g1	TRINITY_DN166526_c0_g1
TRINITY_DN166975_c0_g1	TRINITY_DN166528_c0_g1
TRINITY_DN166994_c0_g1	TRINITY_DN166534_c0_g1
TRINITY_DN167003_c0_g1	TRINITY_DN166548_c0_g1
TRINITY_DN167007_c0_g1	TRINITY_DN166550_c0_g1
TRINITY_DN167017_c0_g1	TRINITY_DN166553_c0_g1
TRINITY_DN167024_c0_g1	TRINITY_DN166559_c0_g1
TRINITY_DN167031_c0_g1	TRINITY_DN166566_c0_g1
TRINITY_DN167034_c0_g1	TRINITY_DN166567_c0_g1
TRINITY_DN167037_c0_g1	TRINITY_DN16656_c0_g2
TRINITY_DN167045_c0_g1	TRINITY_DN166572_c0_g1
TRINITY_DN167065_c0_g1	TRINITY_DN166599_c0_g1
TRINITY_DN167066_c0_g1	TRINITY_DN166604_c0_g1
TRINITY_DN167081_c0_g1	TRINITY_DN166610_c0_g1
TRINITY_DN167082_c0_g1	TRINITY_DN166611_c0_g1
TRINITY_DN167085_c0_g1	TRINITY_DN166614_c0_g1
TRINITY_DN167098_c0_g1	TRINITY_DN166649_c0_g1
TRINITY_DN167107_c0_g1	TRINITY_DN166697_c0_g1
TRINITY_DN167119_c0_g1	TRINITY_DN166700_c0_g1
TRINITY_DN167122_c0_g1	TRINITY_DN166702_c0_g1
TRINITY_DN167126_c0_g1	TRINITY_DN166706_c0_g1
TRINITY_DN167146_c0_g1	TRINITY_DN166721_c0_g1
TRINITY_DN167173_c0_g1	TRINITY_DN166763_c0_g1
TRINITY_DN167175_c0_g1	TRINITY_DN166778_c0_g1
TRINITY_DN167182_c0_g1	TRINITY_DN166779_c0_g1
TRINITY_DN167187_c0_g1	TRINITY_DN166782_c0_g1
TRINITY_DN167194_c0_g1	TRINITY_DN166788_c0_g1
TRINITY_DN167216_c0_g1	TRINITY_DN166794_c0_g1
TRINITY_DN167219_c0_g1	TRINITY_DN166797_c0_g1
TRINITY_DN167223_c0_g1	TRINITY_DN166799_c0_g1
TRINITY_DN167239_c0_g1	TRINITY_DN166806_c0_g1
TRINITY_DN167243_c0_g1	TRINITY_DN166807_c0_g1
TRINITY_DN167247_c0_g1	TRINITY_DN166840_c0_g1
TRINITY_DN167258_c0_g1	TRINITY_DN166855_c0_g1
TRINITY_DN167259_c0_g1	TRINITY_DN166878_c0_g1
TRINITY_DN167262_c0_g1	TRINITY_DN166884_c0_g1
TRINITY_DN167273_c0_g1	TRINITY_DN166899_c0_g1
TRINITY_DN167275_c0_g1	TRINITY_DN166903_c0_g1
TRINITY_DN167282_c0_g1	TRINITY_DN166906_c0_g1
TRINITY_DN167294_c0_g1	TRINITY_DN166931_c0_g1
TRINITY_DN167311_c0_g1	TRINITY_DN166944_c0_g1
TRINITY_DN167342_c0_g1	TRINITY_DN166948_c0_g1
TRINITY_DN167353_c0_g1	TRINITY_DN166966_c0_g1
TRINITY_DN167360_c0_g1	TRINITY_DN166969_c0_g1
TRINITY_DN167363_c0_g1	TRINITY_DN166991_c0_g1
TRINITY_DN167364_c0_g1	TRINITY_DN166995_c0_g1
TRINITY_DN167367_c0_g1	TRINITY_DN166996_c0_g1
TRINITY_DN167370_c0_g1	TRINITY_DN167002_c0_g1
TRINITY_DN167377_c0_g1	TRINITY_DN167005_c0_g1
TRINITY_DN167387_c0_g1	TRINITY_DN167011_c0_g1
TRINITY_DN167392_c0_g1	TRINITY_DN167012_c0_g1
TRINITY_DN167417_c0_g1	TRINITY_DN167014_c0_g1
TRINITY_DN167432_c0_g1	TRINITY_DN167026_c0_g1
TRINITY_DN16743_c0_g2	TRINITY_DN167035_c0_g1
TRINITY_DN167473_c0_g1	TRINITY_DN167038_c0_g1
TRINITY_DN167476_c0_g1	TRINITY_DN16703_c1_g1
TRINITY_DN167479_c0_g1	TRINITY_DN167044_c0_g1
TRINITY_DN167485_c0_g1	TRINITY_DN167060_c0_g1
TRINITY_DN167491_c0_g1	TRINITY_DN167061_c0_g1
TRINITY_DN167492_c0_g1	TRINITY_DN167067_c0_g1
TRINITY_DN167503_c0_g1	TRINITY_DN16707_c0_g2
TRINITY_DN167510_c0_g1	TRINITY_DN167091_c0_g1
TRINITY_DN167518_c0_g1	TRINITY_DN167114_c0_g1
TRINITY_DN167521_c0_g1	TRINITY_DN167136_c0_g1
TRINITY_DN167530_c0_g1	TRINITY_DN167138_c0_g1
TRINITY_DN167535_c0_g1	TRINITY_DN167140_c0_g1
TRINITY_DN167537_c0_g1	TRINITY_DN167142_c0_g1
TRINITY_DN167561_c0_g1	TRINITY_DN167144_c0_g1
