Unnamed: 0,CEL_W,FUK_P,FUK_W,KAT_P,KAT_W,KUR_P,NIS_W,ONO_P,logFC,logCPM,PValue,FDR,BLASTX_short,BLASTX_full
TRINITY_DN10001_c0_g1,9.119,7.756,7.096,12.119000000000002,6.511,9.001,7.117999999999999,7.5089999999999995,-0.29398577972113205,3.1141434669873704,0.4024937693903711,1.0,,
TRINITY_DN100026_c0_g1,0.92,0.0,0.69,0.0,1.555,0.772,0.0,1.156,0.677540218628171,-0.3862464782710751,0.7599524209459481,1.0,,
TRINITY_DN100028_c0_g1,0.27899999999999997,1.337,0.0,0.499,1.7690000000000001,0.43700000000000006,0.392,0.341,-0.152187122830249,-0.401384784080434,0.949943101468912,1.0,,
TRINITY_DN10002_c0_g1,10.765,18.305999999999997,10.821,11.909,11.061,15.504000000000001,15.32,22.524,-0.520292241249957,3.92246806837425,0.10719867577374302,1.0,,
TRINITY_DN10002_c0_g2,15.943,17.086,19.249000000000002,14.151,13.085999999999999,16.572,17.597,20.424,-0.0620305444496683,4.126747263182748,0.8249923442104921,1.0,,
TRINITY_DN100030_c0_g1,0.0,0.0,0.0,0.0,3.1639999999999997,0.0,0.0,1.177,1.37811341387304,-0.621642360713549,0.806459328106361,1.0,,
TRINITY_DN100032_c0_g1,1.0270000000000001,0.0,0.0,0.0,1.788,0.0,0.0,0.0,6.749010280143301,-1.13260214739932,0.16017413566304994,1.0,,
TRINITY_DN10003_c0_g1,6.779,13.779000000000002,5.587999999999999,5.052,6.483,6.837000000000001,11.2,4.612,-0.0249629965174423,2.98399379362312,0.966181195440177,1.0,,
TRINITY_DN100043_c0_g1,0.0,0.41,0.0,0.0,0.0,0.0,1.03,1.17,-0.588308259233174,-1.1471308944145,0.8792361044280909,1.0,,
TRINITY_DN10004_c0_g1,455.286,555.366,665.127,743.413,818.7139999999999,593.504,565.639,616.771,-0.0133652401516896,9.33958622508376,0.960210647297965,1.0,,
TRINITY_DN10004_c1_g1,1.827,2.3930000000000002,2.687,5.309,8.775,2.491,2.9330000000000003,3.38,0.24069119788004895,1.97736101881206,0.718645986447631,1.0,,
TRINITY_DN10004_c2_g2,0.0,0.47600000000000003,0.214,0.0,1.413,0.233,0.8340000000000001,1.81,-0.0725242096770488,-0.4163141571489161,0.9861766129769692,1.0,,
TRINITY_DN10005_c0_g1,1.3430000000000002,1.73,1.476,1.265,2.155,1.3769999999999998,1.129,1.203,0.0873180437034651,0.6878541643881371,0.9010442775774652,1.0,,
TRINITY_DN10005_c0_g2,1.103,1.385,1.385,2.0269999999999997,1.0590000000000002,1.715,1.25,1.047,-0.3737291475969289,0.5968434027133339,0.5847106547718101,1.0,,
TRINITY_DN10005_c1_g1,2.583,4.851,6.372999999999999,3.563,7.414,2.819,2.379,3.6460000000000004,0.317562102496834,2.15607527483045,0.579443982934834,1.0,,
TRINITY_DN10006_c0_g1,6.211,4.65,3.034,3.787,4.279,3.7039999999999997,5.4639999999999995,3.298,0.284102636316926,2.1841430100724097,0.544302760168891,1.0,,
TRINITY_DN10007_c0_g1,3.484,3.87,4.1610000000000005,4.166,3.06,4.132,3.574,2.218,-0.0107459908741374,1.9269412055757495,0.990903757443602,1.0,,
TRINITY_DN10007_c1_g1,0.365,1.3159999999999998,2.77,0.8959999999999999,1.291,0.6459999999999999,2.226,1.113,0.758309800291544,0.5674659417144859,0.38546329832710297,1.0,,
TRINITY_DN10008_c0_g1,32.446999999999996,37.591,19.506,37.243,23.551,31.771,18.935,38.097,-0.633722964967624,4.95499957598992,0.0175357969676712,0.645400552210255,,
TRINITY_DN10008_c1_g1,6.455,6.047000000000001,5.167999999999999,8.493,8.312000000000001,4.262,7.566,3.9130000000000003,0.268592158533757,2.71588132671596,0.5494650338060421,1.0,,
TRINITY_DN100090_c0_g1,0.0,0.0,0.0,1.554,0.0,0.0,1.452,0.0,-0.0407749345808889,-1.0262698874613698,1.0,1.0,,
TRINITY_DN10009_c0_g1,5.954,3.5869999999999997,6.085,2.524,3.8569999999999998,4.846,3.362,3.266,0.413497925929856,2.14565479546149,0.3977773763079761,1.0,,
TRINITY_DN1000_c0_g1,48.992,41.132,39.077,34.555,36.34,47.723,48.75899999999999,33.971,0.125048606548062,5.419182033657808,0.613677006825922,1.0,,
